smiles,is_potent_any,split
CCCC(CCC)CN1CCC(n2nnnc2CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1,1,train
CC(C)c1cc(CN(C)Cc2ccccc2)cc(C(C)C)c1O,1,train
COc1ccc2c(Cc3c(Cl)c[n+]([O-])cc3Cl)nnc(-c3nccs3)c2c1,1,train
CCC[C@@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O,1,train
OC1(c2ccccc2F)c2ccccc2C2=NCCCN21,1,train
C/C(C#Cc1ccccc1)=C\CO/N=C1\CN2CCC1C2,1,train
CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,1,train
N=C(N)N[C@@H](C(=O)NCC(=O)N1CCC(c2cc(-c3ccccc3)[nH]n2)CC1)C1CCCCC1,0,train
CC/C(=N\N=C(\N)S)c1ccccc1,1,train
CN(C)CCNc1c(-c2ccccc2)c(O)nc2cc(Cl)ccc12,1,train
CC(C)C(NC(=O)C[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C,1,train
CC(C)C[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(N)=O,0,train
C/C(=C\COP(=O)(O)OP(=O)(O)O)CC/C=C(\C)COC(=O)c1cccc(C(=O)c2ccccc2)c1,1,train
CC1=C(C)Cc2c(-c3ccccc3)[nH]c(-c3ccccc3)c2C1,1,train
CC(C)NCC(O)COc1ccccc1Cc1ccccc1,1,train
Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)N(C)C(=O)NC2CCCCC2)nc1C(=O)O,1,train
C[n+]1ccccc1CCC(O)CCl,0,train
Clc1cccc(Cl)c1NC1=NCCN1,1,train
COc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(OC)c1,1,train
CCOC(=O)c1cn(Cc2c(F)cccc2F)c2nc(-c3ccc(NC(=O)C(C)C)cc3)c(CN(C)Cc3ccccc3)n2c1=O,1,train
O=C(CC1NCCc2ccccc21)NNC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCc1ccccc1,1,train
c1cc(-c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc7[nH]cnc7c6)nc5c4)nc3c2)ccn1,1,train
O=C1CCC(c2c(-c3ccc(F)cc3F)nc3ccccn23)=NN1c1c(Cl)cccc1Cl,1,train
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C#N)Oc1ccc(F)cc1-3,1,train
COc1cc(C)cc2c1Oc1ccc([C@@H](O)CC(C)C)c(OC)c1C(=O)OC2,0,train
COc1ccc(-c2cc(Sc3ccccc3)nnc2-c2ccc(OC)cc2)cc1,0,train
COC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)c3cc(Oc4ccc(CC(NC(=O)OCc5ccccc5)C(=O)O)cc4Cl)c(O)c(c3)Oc3ccc(cc3Cl)C2O)c2ccc(O)c(c2)-c2c1cc(O)c(CNC1C3CC4CC(C3)CC1C4)c2O,0,train
COc1cc(C/N=C(\S)NCC(COC(=O)C(C)(C)C)Cc2ccc(C)c(C)c2)ccc1NS(C)(=O)=O,1,train
CCCCC(=O)N[C@@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)C2(CCc3c(cccc3OCC)C2)NC1=O,1,train
Fc1cccc(CCC2(F)CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,1,train
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,1,train
